Jugador,Partidos,Minutos jugados,Goles,Asistencias,Paradas,Goles encajados,Tiros,Tiros a puerta,Precision tiros (%),Centros,Centros precisos,Precision centros (%),Tiros al palo,Corners forzados,Faltas recibidas,Faltas cometidas,Pases interceptados,Balones robados,Balones robados al ultimo hombre,Goles salvados bajos palos,TA,TR,Penaltis cometidos,Penaltis forzados,Penaltis lanzados,Penaltis anotados,Penaltis parados,Goles en propia meta,Tiros bloqueados,Errores en gol en contra,Regates con exito,Pases claves,Precision de pases (%),Corners precisos (en corto),Faltas colgadas,Faltas colgadas precisas,Faltas directas,Faltas directas a puerta,Goles de falta,Despejes efectivos
Abde Ezzalzouli,20,1422,1,1,0,0,46,16,35%,36,3,8%,2,19,29,16,5,19,0,0,1,0,0,1,1,0,0,0,3,0,40,20,74%,0,1,0,1,1,0,4
Abde Rebbach,8,386,0,0,0,0,6,1,17%,17,3,18%,1,5,6,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,6,70%,5,0,0,0,0,0,6
Abdel Abqar,19,1578,0,1,0,0,5,1,20%,4,1,25%,0,1,15,34,28,15,1,0,9,0,1,1,0,0,0,0,12,0,1,5,75%,0,9,0,0,0,0,87
Abdon Prats,14,216,2,0,0,0,11,5,45%,0,0,0%,0,2,8,4,1,1,0,0,4,0,0,0,1,1,0,0,1,0,0,0,70%,0,0,0,0,0,0,4
Abdoulaye Keita,2,82,0,0,0,0,2,0,0%,0,0,0%,0,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61%,0,0,0,0,0,0,2
Abdul Mumin,18,1533,2,1,0,0,7,2,29%,2,0,0%,0,2,9,17,20,15,0,0,6,1,0,0,0,0,0,0,22,0,3,1,81%,0,5,0,0,0,0,107
Abdulai Juma Bah,12,865,0,0,0,0,3,1,33%,0,0,0%,0,1,6,6,12,7,0,0,1,0,0,0,0,0,0,0,8,0,3,1,81%,0,0,0,0,0,0,59
Abel Bretones,19,1190,2,0,0,0,8,3,38%,51,7,14%,0,6,15,12,12,20,0,0,2,0,0,0,0,0,0,0,2,0,10,6,72%,0,3,0,0,0,0,30
Abel Ruiz,15,972,3,0,0,0,19,7,37%,2,0,0%,1,6,10,6,1,1,0,0,3,0,0,0,1,1,0,0,1,0,4,4,88%,0,0,0,0,0,0,5
Aboubacar Bassinga,1,4,0,0,0,0,0,0,0%,0,0,0%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,0,0,0,0,0,0,0
Adama Boiro,8,555,0,0,0,0,2,0,0%,11,1,9%,0,1,6,6,5,4,0,0,1,0,0,0,0,0,0,0,3,1,4,1,85%,0,0,0,0,0,0,17
Adnan Januzaj,7,305,1,1,0,0,8,2,25%,31,8,26%,1,7,8,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4,7,80%,12,3,1,2,0,0,1
Adria Altimira,11,778,0,0,0,0,4,1,25%,9,0,0%,0,1,14,11,12,9,0,0,2,0,1,0,0,0,0,0,4,2,7,1,80%,0,1,0,0,0,0,24
Adria Pedrosa,15,1090,1,1,0,0,9,2,22%,46,9,20%,0,5,10,17,12,22,1,0,5,0,0,0,0,0,0,0,4,0,7,7,78%,2,7,1,0,0,0,34
Adrian Arnu,1,3,0,0,0,0,0,0,0%,0,0,0%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0
Adrian Embarba,18,996,1,1,0,0,22,6,27%,76,15,20%,0,10,13,16,8,9,0,0,2,0,0,0,0,0,0,0,1,0,11,12,74%,24,13,4,1,0,0,7
Adrian Nino,1,12,0,0,0,0,2,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0
Adrian Pica,7,483,0,0,0,0,4,1,25%,2,0,0%,0,1,3,6,8,7,0,0,1,0,0,0,0,0,0,0,6,0,1,1,78%,0,3,0,0,0,0,20
Adrian San Miguel,1,90,0,0,2,3,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,71%,0,0,0,0,0,0,0
Aihen Munoz,11,488,0,0,0,0,3,0,0%,12,1,8%,0,3,5,6,9,4,0,0,3,0,0,0,0,0,0,0,2,0,3,1,79%,0,0,0,0,0,0,24
Aimar Oroz,20,1588,1,0,0,0,24,7,29%,16,1,6%,1,12,40,14,15,12,0,0,3,0,0,0,0,0,0,0,2,0,20,19,84%,2,0,0,2,1,0,2
Aitor Paredes,12,1032,2,0,0,0,4,2,50%,0,0,0%,1,0,3,15,14,7,0,0,4,1,1,0,0,0,0,0,7,1,0,1,84%,0,2,0,0,0,0,66
Aitor Ruibal,16,641,0,2,0,0,9,2,22%,16,5,31%,0,3,8,4,8,8,0,0,3,0,0,0,0,0,0,0,2,0,8,13,85%,2,1,0,0,0,0,12
Albert Sambi Lokonga,13,936,0,2,0,0,7,2,29%,0,0,0%,0,4,13,12,6,10,0,0,2,0,0,0,0,0,0,0,1,0,3,10,91%,0,0,0,0,0,0,18
Alberto Mari,1,7,0,0,0,0,0,0,0%,0,0,0%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,0,0,0,0,0,0,0
Alberto Moleiro,19,1430,4,0,0,0,39,17,44%,11,3,27%,1,8,20,18,8,8,0,0,3,0,0,0,0,0,0,0,0,0,37,25,84%,0,1,0,0,0,0,3
Alberto Risco,5,69,0,0,0,0,4,1,25%,4,3,75%,0,2,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,74%,0,0,0,0,0,0,0
Alejandro Balde,18,1379,0,2,0,0,8,1,13%,44,8,18%,0,14,30,9,5,5,0,0,1,0,0,0,0,0,0,0,4,0,30,15,90%,0,2,0,0,0,0,9
Alejandro Catena,18,1620,0,1,0,0,9,2,22%,1,0,0%,0,1,5,21,16,16,1,0,5,0,0,0,0,0,0,0,10,0,4,2,80%,0,13,0,0,0,0,109
Alejandro Frances,8,555,0,0,0,0,5,0,0%,11,2,18%,0,1,8,12,9,13,0,0,1,0,0,0,0,0,0,0,2,0,2,1,86%,0,0,0,0,0,0,17
