Jugador,Equipo,Posición,Partidos,Minutos jugados,Goles,Asistencias,Paradas,Goles encajados,Tiros,Tiros a puerta,Precision tiros (%),Centros,Centros precisos,Precision centros (%),Tiros al palo,Corners forzados,Faltas recibidas,Faltas cometidas,Pases interceptados,Balones robados,Balones robados al ultimo hombre,Goles salvados bajos palos,TA,TR,Penaltis cometidos,Penaltis forzados,Penaltis lanzados,Penaltis anotados,Penaltis parados,Goles en propia meta,Tiros bloqueados,Errores en gol en contra,Regates con exito,Pases claves,Precision de pases (%),Corners precisos (en corto),Faltas colgadas,Faltas colgadas precisas,Faltas directas,Faltas directas a puerta,Goles de falta,Despejes efectivos
Abde Ezzalzouli,Real Betis Sevilla,Extremo izquierdo,20.0,1422.0,1.0,1.0,0.0,0.0,46.0,16.0,35.0,36.0,3.0,8.0,2.0,19.0,29.0,16.0,5.0,19.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,40.0,20.0,74.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0
Abdel Abqar,Deportivo Alaves,Defensa central,19.0,1578.0,0.0,1.0,0.0,0.0,5.0,1.0,20.0,4.0,1.0,25.0,0.0,1.0,15.0,34.0,28.0,15.0,1.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,5.0,75.0,0.0,9.0,0.0,0.0,0.0,0.0,87.0
Abdon Prats,Rcd Mallorca,Delantero centro,14.0,216.0,2.0,0.0,0.0,0.0,11.0,5.0,45.0,0.0,0.0,0.0,0.0,2.0,8.0,4.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Abdul Mumin,Rayo Vallecano,Defensa central,18.0,1533.0,2.0,1.0,0.0,0.0,7.0,2.0,29.0,2.0,0.0,0.0,0.0,2.0,9.0,17.0,20.0,15.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,3.0,1.0,81.0,0.0,5.0,0.0,0.0,0.0,0.0,107.0
Abdulai Juma Bah,Real Valladolid,Defensa central,12.0,865.0,0.0,0.0,0.0,0.0,3.0,1.0,33.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,12.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,1.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
Abel Bretones,Ca Osasuna,Lateral izquierdo,19.0,1190.0,2.0,0.0,0.0,0.0,8.0,3.0,38.0,51.0,7.0,14.0,0.0,6.0,15.0,12.0,12.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,6.0,72.0,0.0,3.0,0.0,0.0,0.0,0.0,30.0
Abel Ruiz,Fc Girona,Delantero centro,15.0,972.0,3.0,0.0,0.0,0.0,19.0,7.0,37.0,2.0,0.0,0.0,1.0,6.0,10.0,6.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Adama Boiro,Athletic Bilbao,Lateral izquierdo,8.0,555.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,1.0,9.0,0.0,1.0,6.0,6.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Adnan Januzaj,Ud Las Palmas,Extremo derecho,7.0,305.0,1.0,1.0,0.0,0.0,8.0,2.0,25.0,31.0,8.0,26.0,1.0,7.0,8.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,80.0,12.0,3.0,1.0,2.0,0.0,0.0,1.0
Adria Altimira,Cd Leganes,Lateral derecho,11.0,778.0,0.0,0.0,0.0,0.0,4.0,1.0,25.0,9.0,0.0,0.0,0.0,1.0,14.0,11.0,12.0,9.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,7.0,1.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0
